"timelag","month2","year","Vol","Cmon"
128.5,8.5,2020,0.182730735650038,0.228578316326691
129,9,2020,0.166494679743438,0.092828529980956
129.5,9.5,2020,0.185473438208273,0.106029106029106
130,10,2020,0.181685365251213,0.126172797619824
130.5,10.5,2020,0.188296729355628,0.130970228080848
131,11,2020,0.197766613932411,0.0804720544096152
131.5,11.5,2020,0.117145343938666,0.0299738807383826
132,12,2020,0.120518768260075,0.0699536139436329
132.5,12.5,2020,0.117653099862029,0.109933347148883
133,1,2021,0.112992515171364,0.149913080354133
133.5,1.5,2021,0.122722186006804,0.0937773335322843
134,2,2021,0.112158016760995,0.0496919344952246
134.5,2.5,2021,0.107713543466279,0.0271607820624271
135,3,2021,0.111863834449823,0.00462962962962963
135.5,3.5,2021,0.117527215711183,0.0944337150769698
136,4,2021,0.108061806682669,0.0455744892419116
136.5,4.5,2021,0.114749883993527,0.0959918883677013
137,5,2021,0.10996741354761,0.0410818201105245
137.5,5.5,2021,0.122205808394892,0.0669037639140549
138,6,2021,0.15787860912043,0.0927257077175852
138.5,6.5,2021,0.167625329187947,0.106270074012009
139,7,2021,0.0855027675054256,0.0900962747695139
139.5,7.5,2021,0.10158115307823,0.0739224755270183
140,8,2021,0.101348892535535,0.0577486762845227
140.5,8.5,2021,0.147858359683165,0.0503707376083334
141,9,2021,0.157772626331045,0.0614195441926991
141.5,9.5,2021,0.178024452238449,0.0750334033212445
142,10,2021,0.171431436997026,0.0810896767665422
142.5,10.5,2021,0.16127818102364,0.0871459502118399
143,11,2021,0.194279535815752,0.032721141288821
143.5,11.5,2021,0.177557064963866,0.0970229631083762
144,12,2021,0.122294119387583,0.0590344891658416
144.5,12.5,2021,0.111303164864117,0.0579825247534121
145,1,2022,0.114484464353753,0.180214315968065
145.5,1.5,2022,0.120855072125987,0.0827672216119195
146,2,2022,0.120965713307946,0.0930413487426308
146.5,2.5,2022,0.149015900464256,0.0196078431372549
147,3,2022,0.143141525215436,0.0767325318780449
147.5,3.5,2022,0.128494025073181,0.0661934062193842
148,4,2022,0.138049476268173,0.112835496559382
148.5,4.5,2022,0.129070262505046,0.0828309032551563
149,5,2022,0.114672259840908,0.0441898568627932
149.5,5.5,2022,0.129919392253093,0.0952580983675295
150,6,2022,0.126529776066141,0.0540527318759272
150.5,6.5,2022,0.111053430525707,0.0836785146232863
151,7,2022,0.0941482652174366,0.06256750008676
151.5,7.5,2022,0.0928537158894317,0.0952367125512395
152,8,2022,0.111063020475298,0.141980995562416
152.5,8.5,2022,0.132465070642241,0.0863377038087251
153,9,2022,0.14600933568217,0.133534838033697
153.5,9.5,2022,0.136093964106438,0.0917151812941714
154,10,2022,0.177072219669356,0.173763736263736
154.5,10.5,2022,0.154917932138197,0.0823970037453183
155,11,2022,0.168518246367782,0.119933421864838
155.5,11.5,2022,0.165427968038265,0.177385898675941
156,12,2022,0.113899710830324,0.0882352941176471
156.5,12.5,2022,0.126926696710196,0.136575670616119
157,1,2023,0.0950258357876988,0.0172299699636378
157.5,1.5,2023,0.100284670117565,0.0678831717920526
158,2,2023,0.125704670593276,0.118536373620467
158.5,2.5,2023,0.13236849557478,0.0904185160146339
159,3,2023,0.121930504440118,0.0774515935081134
159.5,3.5,2023,0.104989368071614,0.0638026441507493
160,4,2023,0.108648100549417,0.0431274816254118
160.5,4.5,2023,0.0971414502123597,0.0471171171171171
161,5,2023,0.105041688070133,0.0692975036716109
161.5,5.5,2023,0.0974887524860371,0.0531981524927018
162,6,2023,0.100729523767307,0.0489527489442747
162.5,6.5,2023,0.0989054886137346,0.0447073453958476
163,7,2023,0.0690379256893896,0.0643803131827318
163.5,7.5,2023,0.075035904378785,0.084053280969616
164,8,2023,0.106948988490735,0.0446029275687563
164.5,8.5,2023,0.142532307963992,0.0407366660799155
165,9,2023,0.133608718837679,0.046612520744261
165.5,9.5,2023,0.14157189476936,0.0524883754086065
166,10,2023,0.146672075735768,0.058364230072952
166.5,10.5,2023,0.175531957344667,0.0642400847372974
167,11,2023,0.156039464326202,0.0701159394016429
167.5,11.5,2023,0.108754380495383,NA
168,12,2023,0.144216455441506,NA
168.5,12.5,2023,0.0971932935829735,NA
169,NA,NA,0.100306964427754,NA
